area_fips,area_title,total_businesses,total_employees,industry_code,industry_title,disclosure_warning,businesses,total_qtrly_wages,employees,avg_annual_wage
C3938,"Pueblo, CO",3491,60950,314,Textile product mills,FALSE,3,189466,21,36670.84
C3938,"Pueblo, CO",3491,60950,316,Leather and allied product manufacturing,TRUE,1,,,
C3938,"Pueblo, CO",3491,60950,321,Wood product manufacturing,FALSE,4,828365,60,55532.85
C3938,"Pueblo, CO",3491,60950,323,Printing and related support activities,FALSE,6,378509,48,31324.88
C3938,"Pueblo, CO",3491,60950,324,Petroleum and coal products manufacturing,TRUE,1,,,
C3938,"Pueblo, CO",3491,60950,325,Chemical manufacturing,FALSE,10,2510275,150,66792.24
C3938,"Pueblo, CO",3491,60950,326,Plastics and rubber products manufacturing,TRUE,3,,,
C3938,"Pueblo, CO",3491,60950,327,Nonmetallic mineral product manufacturing,FALSE,14,7969548,565,56454.89
C3938,"Pueblo, CO",3491,60950,331,Primary metal manufacturing,TRUE,3,,,
C3938,"Pueblo, CO",3491,60950,332,Fabricated metal product manufacturing,FALSE,22,14546813,1029,56529.07
C3938,"Pueblo, CO",3491,60950,333,Machinery manufacturing,TRUE,6,,,
C3938,"Pueblo, CO",3491,60950,334,Computer and electronic product manufacturing,FALSE,3,1658602,88,75677.66
C3938,"Pueblo, CO",3491,60950,335,Electrical equipment and appliance mfg.,TRUE,1,,,
C3938,"Pueblo, CO",3491,60950,336,Transportation equipment manufacturing,TRUE,2,,,
C3938,"Pueblo, CO",3491,60950,337,Furniture and related product manufacturing,FALSE,4,107187,15,28583.2
C3938,"Pueblo, CO",3491,60950,339,Miscellaneous manufacturing,FALSE,11,273377,38,28526.3
C3938,"Pueblo, CO",3491,60950,423,"Merchant wholesalers, durable goods",FALSE,106,11417117,729,62645.36
C3938,"Pueblo, CO",3491,60950,424,"Merchant wholesalers, nondurable goods",FALSE,44,11677995,878,53202.71
C3938,"Pueblo, CO",3491,60950,425,Electronic markets and agents and brokers,FALSE,8,260060,11,91785.88
C3938,"Pueblo, CO",3491,60950,441,Motor vehicle and parts dealers,FALSE,66,10473634,989,42360.5
C3938,"Pueblo, CO",3491,60950,442,Furniture and home furnishings stores,FALSE,21,1566169,176,35527.46
C3938,"Pueblo, CO",3491,60950,443,Electronics and appliance stores,FALSE,22,2174777,262,33160.51
C3938,"Pueblo, CO",3491,60950,444,Building material and garden supply stores,FALSE,36,6468317,820,31552.77
C3938,"Pueblo, CO",3491,60950,445,Food and beverage stores,FALSE,66,7417266,1067,27814.75
C3938,"Pueblo, CO",3491,60950,446,Health and personal care stores,FALSE,41,5444744,592,36788.81
C3938,"Pueblo, CO",3491,60950,447,Gasoline stations,FALSE,60,3241323,570,22732.83
C3938,"Pueblo, CO",3491,60950,448,Clothing and clothing accessories stores,FALSE,40,1194999,281,17010.66
C3938,"Pueblo, CO",3491,60950,451,"Sports, hobby, music instrument, book stores",FALSE,22,1290387,273,18906.77
C3938,"Pueblo, CO",3491,60950,452,General merchandise stores,FALSE,38,12681993,2150,23590.75
C3938,"Pueblo, CO",3491,60950,453,Miscellaneous store retailers,FALSE,54,5856731,756,30974.34
C3938,"Pueblo, CO",3491,60950,454,Nonstore retailers,FALSE,16,1067419,80,53149.49
C3938,"Pueblo, CO",3491,60950,481,Air transportation,TRUE,1,,,
C3938,"Pueblo, CO",3491,60950,484,Truck transportation,FALSE,37,3008013,273,44073.45
C3938,"Pueblo, CO",3491,60950,485,Transit and ground passenger transportation,FALSE,7,1512816,263,23008.61
C3938,"Pueblo, CO",3491,60950,488,Support activities for transportation,FALSE,9,781898,83,37531.1
C3938,"Pueblo, CO",3491,60950,491,Postal service,TRUE,2,,,
C3938,"Pueblo, CO",3491,60950,492,Couriers and messengers,FALSE,7,2190406,218,40190.94
C3938,"Pueblo, CO",3491,60950,493,Warehousing and storage,TRUE,4,,,
C3938,"Pueblo, CO",3491,60950,511,"Publishing industries, except internet",TRUE,7,,,
C3938,"Pueblo, CO",3491,60950,512,Motion picture and sound recording industries,TRUE,3,,,
C3938,"Pueblo, CO",3491,60950,515,"Broadcasting, except internet",FALSE,5,1160137,89,51946.43
C3938,"Pueblo, CO",3491,60950,517,Telecommunications,FALSE,12,2743468,270,40643.97
C3938,"Pueblo, CO",3491,60950,518,"Data processing, hosting and related services",TRUE,4,,,
C3938,"Pueblo, CO",3491,60950,519,Other information services,TRUE,0,,,
C3938,"Pueblo, CO",3491,60950,522,Credit intermediation and related activities,FALSE,79,8860034,740,47892.08
C3938,"Pueblo, CO",3491,60950,523,"Securities, commodity contracts, investments",TRUE,26,,,
C3938,"Pueblo, CO",3491,60950,524,Insurance carriers and related activities,FALSE,108,5833703,378,61677.92
C3938,"Pueblo, CO",3491,60950,525,"Funds, trusts, and other financial vehicles",TRUE,1,,,
C3938,"Pueblo, CO",3491,60950,531,Real estate,FALSE,116,2567410,333,30839.76
C3938,"Pueblo, CO",3491,60950,532,Rental and leasing services,TRUE,25,,,
C3938,"Pueblo, CO",3491,60950,533,Lessors of nonfinancial intangible assets,TRUE,1,,,
C3938,"Pueblo, CO",3491,60950,541,Professional and technical services,FALSE,291,43189051,2324,74325.06
C3938,"Pueblo, CO",3491,60950,551,Management of companies and enterprises,FALSE,23,3402820,147,92804.18
C3938,"Pueblo, CO",3491,60950,561,Administrative and support services,FALSE,175,24386860,3402,28673.56
C3938,"Pueblo, CO",3491,60950,562,Waste management and remediation services,FALSE,17,2260930,210,43065.33
C3938,"Pueblo, CO",3491,60950,611,Educational services,FALSE,33,4481770,372,48234.3
C3938,"Pueblo, CO",3491,60950,621,Ambulatory health care services,FALSE,327,59171814,4473,52910.71
C3938,"Pueblo, CO",3491,60950,622,Hospitals,TRUE,3,,,
C3938,"Pueblo, CO",3491,60950,623,Nursing and residential care facilities,FALSE,42,15925043,2028,31415.5
C3938,"Pueblo, CO",3491,60950,624,Social assistance,TRUE,144,,,
C3938,"Pueblo, CO",3491,60950,711,Performing arts and spectator sports,FALSE,13,2455904,159,61913.55
C3938,"Pueblo, CO",3491,60950,712,"Museums, historical sites, zoos, and parks",FALSE,3,309354,56,22096.71
C3938,"Pueblo, CO",3491,60950,713,"Amusements, gambling, and recreation",FALSE,33,1828292,442,16545.63
